gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
MT-CO1	823470.5637109914	-0.7237823057918453	0.21174016403878237	-3.418257037239648	6.302355798340454e-4	0.0059419916697850215
MT-ND4	376686.271239328	-0.6187303655086205	0.19855658364439607	-3.116141273949055	0.0018323446629374632	0.01357817285809166
MT-CO3	277787.0694688758	-0.8468910554576458	0.21622814267518334	-3.9166550892953866	8.97860628236257e-5	0.0012845735989401646
MT-CYB	214732.07399905167	-0.739636831801082	0.19957937627848327	-3.705978270866169	2.1057635345096676e-4	0.002483449627191667
MT-ND2	200070.24775311904	-0.8747765478275326	0.22600957314037573	-3.8705287376663655	1.085995534176504e-4	0.0014848261050308862
MT-ND1	186714.4563314202	-1.041140415311112	0.22735509755527086	-4.579358134066059	4.6640500651902965e-6	1.3049532600620047e-4
MT-CO2	185284.87671121914	-0.8806892240582812	0.22793049677047544	-3.8638498864201116	1.1161382824492836e-4	0.0015188359014011558
MT-ND5	256748.91109668705	-0.5539944549372269	0.1905281486581444	-2.907677730765299	0.003641233663826393	0.02304639171475743
MT-ATP6	162609.69111045456	-0.8092912994405894	0.18796014134427644	-4.305653813902248	1.664932564011316e-5	3.4734438073232596e-4
SPARC	292041.1844706087	0.7101877116288152	0.1901452524065441	3.734974724009324	1.8773404175157114e-4	0.002282476196542149
IGF2	13307.614434813522	1.220771323530638	0.37546694514288625	3.2513416675496325	0.001148617323709584	0.009485994794084324
HSP90AA1	46278.17177438049	-0.3001934266850403	0.1158084391954862	-2.5921550171167556	0.009537678465098755	0.046674989627935266
TUBA1B	39605.14117208083	-0.4726665563977502	0.16354555696985884	-2.890121658791757	0.0038509276279045353	0.023906095564622504
MT-ND3	47964.5516406757	-0.5787212631898547	0.20576164237859185	-2.8125808897123523	0.00491456607465525	0.028652350897758822
MBP	88253.58667421175	-1.2499511644699013	0.4692703478100248	-2.6636056812520366	0.007730812432400296	0.039920861956875185
PTPRZ1	186837.2947727192	0.5157142403127696	0.1809806643616464	2.8495543550566182	0.004378052428759611	0.026332083292012223
MT-ND4L	38222.89909284304	-0.7266903809795682	0.22540876781816266	-3.2238780594630176	0.0012646723988124118	0.010246584557360374
CALM1	53102.62297708878	-0.6347867228445273	0.12753818183713944	-4.977228887072592	6.450103270235721e-7	2.4756405981113065e-5
TNR	180806.37532266762	0.8462198817560961	0.28646786486657105	2.953978388292321	0.0031370597370419004	0.020618161553829176
SCD	67811.33257251744	-0.6590598176065079	0.1529342808385499	-4.309431567551987	1.636746939033701e-5	3.46013376212071e-4
MT-ATP8	23427.517491742412	-0.7443006107867628	0.19061462914439722	-3.904740229685777	9.432665168518263e-5	0.0013351792599646123
QKI	59204.661834078106	0.21578850381314013	0.08029091920029591	2.687582929208075	0.007197122838889603	0.03796720087916432
CCNI	16431.206895662097	-0.305952926428485	0.07922180589735064	-3.8619786934031093	1.1247237748554748e-4	0.0015260911453760656
SDC3	83155.01469438241	0.5331665113459053	0.15923748660831824	3.348247467993217	8.132435843679717e-4	0.007256774905220909
CD81	52554.83848623855	0.42092917354059384	0.10380229949703232	4.055104516761	5.011189100153399e-5	8.173763127888087e-4
KIF1A	44857.94866146316	-0.6641338750834853	0.22136775804260422	-3.000138235829568	0.00269857103681198	0.01834017489547302
SEPTIN2	34724.59108834594	0.3555964677798016	0.10391752555917975	3.421910460880766	6.218278780742389e-4	0.005877181404845312
MAP2	34549.28858869042	-0.4501847460479001	0.16719585123673097	-2.6925593112384583	0.007090592249035484	0.037487789042913874
HLA-C	30530.098111721894	0.57397840391523	0.17572355815700427	3.2663713957032203	0.0010893527547057452	0.009096931128034377
COL4A1	13170.728261754524	1.0332985622572624	0.27564396736338104	3.7486710561492766	1.7777406892270528e-4	0.00218791826860164
FAM107A	55731.83982191651	-0.7320415774826455	0.273686433054707	-2.6747455813285352	0.007478598016283488	0.03910381181082509
MAP1A	53105.643198958554	-0.5236578699731103	0.1857936172225663	-2.8184922485566815	0.004824977602364277	0.02824003264335885
CD59	52647.74603833639	0.6478057460621132	0.16462730618257987	3.93498357644062	8.320238551676723e-5	0.0012150592275162043
COL4A2	13315.128604208616	0.7445575836625508	0.2563647896709659	2.9042895657323347	0.0036808755183289055	0.023199202279994023
HSPG2	10442.459863540797	0.8360705761817394	0.3068262680751387	2.7248989515362942	0.00643211693561844	0.034931791521102415
SLC1A3	34440.163831154576	-0.8445804490878916	0.1713878923118776	-4.9278886489308915	8.312296432059061e-7	3.081725999192175e-5
PEG10	10659.290430106466	-0.9027930294365282	0.2594086005708264	-3.480196984409692	5.010452438437183e-4	0.004936985123072514
RTN4	24444.32930008788	-0.24482661283671497	0.09181943341044771	-2.666392110505632	0.007667021102785902	0.03977560266353004
