gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
MT-CO1	823470.5637109914	-0.477378793996951	0.18377101458325604	-2.597682747083481	0.009385516355848538	0.04948989800144704
MT-CO3	277787.0694688758	-0.5570956372374334	0.18766627652436293	-2.968544202799862	0.0029921406327956374	0.02344953146448152
MT-ND2	200070.24775311904	-0.5632000564981062	0.19615571776733487	-2.871188578688956	0.0040893149208102875	0.029253014442475026
MT-ND1	186714.4563314202	-0.802244231433277	0.19732351810294405	-4.065629070199046	4.79030739516716e-5	0.0011427077899826045
MT-ATP6	162609.69111045456	-0.5439368640593546	0.16313239373013447	-3.3343277299000142	8.550584708860479e-4	0.010029701812424519
CLU	384377.2433258854	0.6390343616276436	0.17307744666517877	3.6921873643298326	2.2233356750960063e-4	0.0037980662923359026
COL1A1	8864.43599771123	-0.9910073965901645	0.30367975158437144	-3.263330503333979	0.0011011102719505532	0.011775677184086269
SPARC	292041.1844706087	0.7297522815137537	0.16502859441870357	4.421974774033748	9.78028774678802e-6	3.0739880778946603e-4
B2M	80501.99853613997	0.5125122239092839	0.1936272823162389	2.646900879764613	0.008123315939720563	0.045181936079030996
AHNAK	69176.6199723063	-0.5160786560232592	0.19054865319365938	-2.708382596117095	0.006761202905389142	0.04008188356041335
COL3A1	7874.67761096858	-0.8450442340263478	0.3110771604273636	-2.7165100545003376	0.00659741912551542	0.03950204701402358
RPL13	30608.984044960052	-0.31579763546528544	0.10405378252934401	-3.0349462344266818	0.0024057857016743438	0.020475681433937645
APP	102086.32261977592	0.2534917964348501	0.08346899079095056	3.0369577256507676	0.0023897896895555704	0.020415516988479446
HBA1	11155.871527140669	-0.9826252699552664	0.3705905910966177	-2.6515116507614827	0.008013234833118398	0.04492438535889177
SPTAN1	73823.2466623411	-0.5090218114257242	0.14540661341373065	-3.5006785418857547	4.640752598252382e-4	0.006439514758293427
CANX	47635.056696091975	0.31567710238185126	0.08514510213345132	3.707519216866731	2.0929953860434702e-4	0.0036429679866090926
HSP90B1	30019.12325129565	0.39224545820449513	0.12624830589059113	3.1069364094629637	0.001890370575950066	0.017391735098938828
CALM1	53102.62297708878	-0.3847271330378598	0.11069263650729706	-3.4756343798216234	5.096465876438698e-4	0.006919521413872268
HSPA5	26659.298372056248	0.46591258007826647	0.12309671101182187	3.784931183364611	1.537511177393182e-4	0.002904053051937437
APOD	116948.88345077555	0.6994666192766503	0.23558584502063254	2.9690519785490137	0.0029872006216315116	0.02342624309029516
MT-ATP8	23427.517491742412	-0.5201465962395015	0.1654378287104267	-3.144060825108734	0.0016662080288100316	0.0158733819769293
CSDE1	25011.18643929567	0.15597657980206475	0.057395656289740755	2.717567667746051	0.006576370634923412	0.039435171934505686
CPE	65549.33867298736	0.3600432655875248	0.1260868497714498	2.8555179722560604	0.004296669101317108	0.030124480379550567
QKI	59204.661834078106	0.18183363526243373	0.06968549709147173	2.609346892133843	0.009071523075640985	0.048582955648837564
NUCKS1	28064.126208253292	0.19687305715911654	0.0713737932572445	2.7583381543075514	0.005809606557373696	0.03652793115724085
CD81	52554.83848623855	0.24864310459658048	0.09009060200214368	2.7599227785231593	0.005781502570605855	0.03643868067526585
KIF1A	44857.94866146316	-0.647407970583653	0.19212739194222442	-3.3696807313052903	7.525532227385488e-4	0.009149060753598094
LDHA	11164.465927362877	0.36529793252618104	0.13749538297727382	2.656801447555224	0.007888588883940286	0.04440200565259761
SEPTIN2	34724.59108834594	0.294294758667637	0.09019108281962085	3.2630139196378947	0.0011023410541428566	0.011775677184086269
MAP2	34549.28858869042	-0.6356807103639347	0.14511097475878842	-4.3806521968486445	1.1832461066928929e-5	3.560143750665174e-4
HMGB1	15273.793192523477	0.29745971506587726	0.11220601343127036	2.6510140229523484	0.008025050942720269	0.0449485430491465
PMP2	78601.50778449285	0.5049539496803165	0.19376800557593965	2.6059717556540565	0.009161401585365391	0.04873735405808555
MAP1A	53105.643198958554	-0.4456080786820101	0.16125233987585713	-2.763420853459051	0.005719896248657726	0.036253477929952406
CD59	52647.74603833639	0.43314308490389863	0.14288099870237086	3.03149536213811	0.0024334565880216002	0.020623243199970744
PEG10	10659.290430106466	-0.6592962733733737	0.22514610615544609	-2.9283041338417832	0.0034081648962453505	0.025790601864618522
KIF1B	24739.027164043844	-0.47079832491746093	0.13061633687319907	-3.6044367510819635	3.128306173821387e-4	0.004865125510585858
TIMP3	34039.260536800284	0.4416158462071441	0.13549379641079914	3.2593067572497834	0.001116848366113757	0.011909402657357295
LYZ	2182.0739737828603	0.7259132165589727	0.2511901799933457	2.88989488593146	0.00385370660707959	0.028087727705281857
MTURN	28679.002504953096	-0.659562911810875	0.23055625792821302	-2.860746083137068	0.004226454045975747	0.029877088075891123
PDIA3	16635.937175549243	0.3523885766697524	0.10849474576592405	3.2479782701184994	0.0011622814663947085	0.012209053122874241
CRYAB	33829.89887122033	0.6001813295247782	0.18516187268221362	3.241387229620684	0.001189494861668833	0.012407840564881771
SOX4	4302.902772097361	-0.6012001278420755	0.19130970069024633	-3.142549100609862	0.0016748362018036537	0.015917590092538694
IDS	29448.233327981754	-0.6390326072321846	0.1386064379673043	-4.6104107183168885	4.018742070160699e-6	1.4824480362252834e-4
C4B	72629.54622727146	0.5865409128201868	0.2152211539655883	2.725293968612253	0.006424425847087235	0.038880343302613404
CALM3	21477.955118278966	-0.44158803030835153	0.11876912002445111	-3.7180374007775874	2.0077655017596585e-4	0.0035220357293412985
JUND	8226.909578272338	-0.6509546859951683	0.23168472513698168	-2.809657328985744	0.00495942727836598	0.03297564778369384
PRKAR1A	17637.998472712803	0.16255384098069064	0.06158709404926226	2.639414044290954	0.008304948079364674	0.04590811742490413
TLE5	15006.113214031946	-0.32040234260854616	0.09809979510598031	-3.2660857472985074	0.0010904522440505	0.011732403973499317
SKP1	18905.519527525452	0.38707047348491275	0.12210243406410896	3.170047153045977	0.0015241420178578804	0.014766667203760611
RPS21	5620.474506407269	-0.28151264018155686	0.08814966635315999	-3.1935757879526587	0.0014052244628760357	0.013953203103599111
CKB	21559.588920701182	-0.6223546605990293	0.20732502426728508	-3.001830882685366	0.002683612170173516	0.02189118238271652
CD24	1179.2009624011646	-1.411998469789951	0.4195934834929068	-3.365158243249554	7.649977137164697e-4	0.009225425600961455
YWHAG	14471.525156981612	-0.44778937147834674	0.12272927991773798	-3.648594465627823	2.636789475996871e-4	0.0043042890208461766
HTRA1	43719.11296953123	0.42247994170749775	0.12575008124095927	3.3596792744646575	7.80330045192501e-4	0.009365862818400841
MRFAP1	20278.511939271346	0.16508789369435758	0.06363506601545109	2.594291230157174	0.00947861594269789	0.04971810158292038
NREP	2859.7524899491154	-0.5941062970069633	0.20777776427879532	-2.859335305051189	0.004245297951023347	0.02997490740772676
PPIB	14070.846222064683	0.3024260713002763	0.11609804064275382	2.6049196836221715	0.00918957988253253	0.04882219125702176
KIF5C	22651.355927417724	-0.5500430565165166	0.14139730938936	-3.8900532046326677	1.0022224588318601e-4	0.002094565804726229
CHGB	4440.568687795289	-0.8815985433188083	0.2824403507166197	-3.1213618772317013	0.0018001667234769565	0.016780520456553268
HIF1A	11086.994821205242	0.3526843904860034	0.09771527069400737	3.60930679494738	3.070163386344207e-4	0.004787136269722901
CNBP	13427.716574173763	0.20285567336345037	0.07331081107964015	2.7670635527832452	0.0056563727204923114	0.035991000705576745
STMN2	2915.9287379028096	-2.12340853483295	0.4012027225564271	-5.292607491052864	1.2058454897114582e-7	7.59999986278669e-6
GPI	12393.50986915226	-0.24159055826273962	0.09062317655127856	-2.665880489479831	0.007678698457781414	0.04364139251634192
FLNB	9296.849471370551	-0.3973487805963422	0.13973522089040516	-2.8435835866176093	0.004460930678490127	0.030834510461366652
AQP1	19569.775174057766	0.9313640517383911	0.27937377108040545	3.3337562368026985	8.568171151657856e-4	0.010029701812424519
ACTR2	12862.977546478302	0.25139866499115743	0.08480684331638373	2.9643676755339157	0.0030330565548438416	0.023661792993000003
UBE2D3	8097.0610196951875	0.1629230405908747	0.06283384191686103	2.5929186505330564	0.009516527764685366	0.04979219707775589
RAB31	47158.86436442649	0.5876570864626269	0.1584288259060266	3.709281332496907	2.0784837687644626e-4	0.0036282570161741165
EZR	5836.126282856471	-0.48100570853445357	0.17301602445308464	-2.7801223040174756	0.005433842900196041	0.035230248364833565
DCTN1	16686.158789098336	-0.26695071188810787	0.09147124766694367	-2.9184111805285875	0.003518200878029813	0.026380999069760182
ARHGEF12	15688.488342639514	-0.24448491134296782	0.07831197685988643	-3.121935125969215	0.0017966652502471906	0.016780520456553268
FSCN1	10638.194929388406	-0.48317341509470785	0.16273666555463828	-2.9690507265093498	0.0029872127932259467	0.02342624309029516
SRGN	5010.478351192051	0.663382509114534	0.19484494931792237	3.4046687452601794	6.624435768470815e-4	0.008412260692199152
PARP1	9223.54703739356	-0.2132871333401908	0.06675327656843363	-3.195156017870294	0.001397552684290578	0.013911632081778614
MAZ	6529.009363330643	-0.3944470507242765	0.1048743552721649	-3.761139219408085	1.6914125140282858e-4	0.0031113156460044118
GOLM1	24468.97895727779	0.37929258485731854	0.10969132068691217	3.4578176512243766	5.445698392709688e-4	0.007278151590702959
GDI2	9744.884305289053	0.2533348981524184	0.07952673113552915	3.185531387184594	0.001444884295749212	0.014194002823295172
PDIA6	10677.430848077762	0.3140700907299604	0.10428691068904207	3.011596456878852	0.0025987782306652724	0.02143276123430898
KTN1	12758.515052940877	0.2453591834215122	0.08071523979323693	3.0398123582366	0.0023672558528499334	0.02032106726729602
NDRG1	20644.864429546116	0.4129223923251457	0.1426813284475869	2.894018417250931	0.0038034585230002737	0.02786874642677883
SRP9	8291.578515214185	0.3939829398434933	0.15086269635884367	2.6115331977519554	0.009013723602685434	0.048513714102328666
SMOC1	40422.47278452237	0.7175154198631647	0.23462264020929238	3.058167870002287	0.002226947863519837	0.01950819361057063
TMEM30A	19270.378964256182	0.3246543306934469	0.12236033845156567	2.653264405785834	0.007971739854520906	0.04475461076319168
