"Module"	"Gene1"	"Gene2"
"M1"	"SHH"	"SLC4A1AP"
"M1"	"SHH"	"ORC3"
"M1"	"VAPB"	"CRYM"
"M1"	"ICAM3"	"SCUBE1"
"M1"	"TMEM30A"	"UNC5D"
"M1"	"FDPS"	"BCL11A"
"M1"	"PSMB2"	"KRT19"
"M1"	"LRRC1"	"N4BP3"
"M1"	"TUBA8"	"PCID2"
"M1"	"TUBA8"	"FOLR3"
"M1"	"TUBA8"	"PRKCZ"
"M1"	"TUBA8"	"CALCOCO1"
"M1"	"TUBA8"	"ZNF44"
"M1"	"TUBA8"	"CEP44"
"M1"	"TUBA8"	"CWC22"
"M1"	"TCL1B"	"EGFR"
"M1"	"CORO1C"	"PLEKHG4B"
"M1"	"MME"	"FILIP1"
"M1"	"MME"	"SPATA13"
"M1"	"MME"	"PCBP1"
"M1"	"MME"	"ERBB2"
"M1"	"MME"	"PTP4A1"
"M1"	"MME"	"PITX1"
"M1"	"MME"	"VBP1"
"M1"	"MME"	"MAOB"
"M1"	"MME"	"WFDC3"
"M1"	"PRUNE"	"PLEKHG4B"
"M1"	"MYO15A"	"CBLN1"
"M1"	"CAMK4"	"TESK2"
"M1"	"CAMK4"	"PFN2"
"M1"	"CAMK4"	"RABGAP1"
"M1"	"CAMK4"	"PTP4A1"
"M1"	"CAMK4"	"PARVG"
"M1"	"CAMK4"	"BCL2"
"M1"	"CAMK4"	"C7orf34"
"M1"	"CAMK4"	"TRIM43"
"M1"	"POLR3D"	"KRT19"
"M1"	"POLR3D"	"CBLN4"
"M1"	"DDI2"	"GPR61"
"M1"	"RAP2B"	"PPL"
"M1"	"RAP2B"	"LRRC3B"
"M1"	"GRIN2C"	"ACKR3"
"M1"	"GRIN2C"	"MYO16"
"M1"	"GRIN2C"	"ERBB2"
"M1"	"GRIN2C"	"PRF1"
"M1"	"GRIN2C"	"APBB1IP"
"M1"	"GRIN2C"	"CSRP3"
"M1"	"GRIN2C"	"CTBS"
"M1"	"GRIN2C"	"PTP4A1"
"M1"	"GRIN2C"	"PABPC3"
"M1"	"GRIN2C"	"RAB5B"
"M1"	"GRIN2C"	"SCGB3A2"
"M1"	"GRIN2C"	"ALCAM"
"M1"	"WNK4"	"DLGAP2"
"M1"	"CCK"	"AURKA"
"M1"	"CCK"	"HRAS"
"M1"	"CCK"	"PTPRN"
"M1"	"CCK"	"DPYSL3"
"M1"	"CCK"	"PTP4A1"
"M1"	"CCK"	"SLC22A1"
"M1"	"CCK"	"NT5E"
"M1"	"CCK"	"RRM2"
"M1"	"CCK"	"KCNIP1"
"M1"	"CCK"	"SCYL2"
"M1"	"CCK"	"ARMC8"
"M1"	"CCK"	"PECR"
"M1"	"CCK"	"ZDHHC20"
"M1"	"CCK"	"TIMM10"
"M1"	"CCK"	"EPHA3"
"M1"	"CCK"	"MUC6"
"M1"	"CCK"	"ZFP36L2"
"M1"	"CCK"	"DUOX2"
"M1"	"CCK"	"SCN9A"
"M1"	"CCK"	"LSMEM1"
"M1"	"LGI1"	"SEMA6A"
"M1"	"LGI1"	"SLC9A4"
"M1"	"LGI1"	"GOT2"
"M1"	"LGI1"	"HABP4"
"M1"	"LGI1"	"ZNF581"
"M1"	"LGI1"	"RPL15"
"M1"	"DIO2"	"PER3"
"M1"	"DIO2"	"CASP3"
"M1"	"DIO2"	"MEGF8"
"M1"	"DIO2"	"KPNA3"
"M1"	"DIO2"	"DNAJB9"
"M1"	"DIO2"	"STXBP3"
"M1"	"DIO2"	"DOCK4"
"M1"	"DIO2"	"JUP"
"M1"	"DIO2"	"SLC3A2"
"M1"	"DIO2"	"GPC3"
"M1"	"DIO2"	"ACKR3"
"M1"	"DIO2"	"MYO16"
"M1"	"DIO2"	"TCF21"
"M1"	"DIO2"	"ADORA2A"
"M1"	"DIO2"	"NEIL1"
"M1"	"DIO2"	"KDM3A"
"M1"	"DIO2"	"BCAP29"
"M1"	"DIO2"	"KISS1R"
"M1"	"DIO2"	"BHLHB9"
"M1"	"DIO2"	"PRKAB2"
"M1"	"DIO2"	"KLHDC9"
"M1"	"DIO2"	"DGCR14"
"M1"	"DIO2"	"VPS28"
"M1"	"DIO2"	"APBB1IP"
"M1"	"DIO2"	"CSRP3"
"M1"	"DIO2"	"CTBS"
"M1"	"DIO2"	"MPZL1"
"M1"	"DIO2"	"PTP4A1"
"M1"	"DIO2"	"SIPA1L3"
"M1"	"DIO2"	"RINT1"
"M1"	"DIO2"	"RAB5B"
"M1"	"DIO2"	"SDCCAG8"
"M1"	"DIO2"	"HMGCS2"
"M1"	"DIO2"	"GPR12"
"M1"	"DIO2"	"KIF3B"
"M1"	"DIO2"	"OSTF1"
"M1"	"DIO2"	"MMACHC"
"M1"	"DIO2"	"CCR4"
"M1"	"DIO2"	"NMT2"
"M1"	"DIO2"	"NAT10"
"M1"	"DIO2"	"HFE"
"M1"	"DIO2"	"HSPA2"
"M1"	"DIO2"	"NRG2"
"M1"	"DIO2"	"LRRK2"
"M1"	"DIO2"	"ABCA6"
"M1"	"DIO2"	"EXTL1"
"M1"	"NTSR1"	"LACRT"
"M1"	"NTSR1"	"RNF144A"
"M1"	"NTSR1"	"LSM1"
"M1"	"NTSR1"	"APC2"
"M1"	"NTSR1"	"SRRM2"
"M1"	"NTSR1"	"GIT1"
"M1"	"NTSR1"	"PLAUR"
"M1"	"NTSR1"	"COMMD10"
"M1"	"NTSR1"	"HOOK2"
"M1"	"NTSR1"	"STX12"
"M1"	"NTSR1"	"KCNE2"
"M1"	"NTSR1"	"VEGFC"
"M1"	"NTSR1"	"TRIB2"
"M1"	"NTSR1"	"NCAPH2"
"M1"	"NTSR1"	"NUCB1"
"M1"	"NTSR1"	"COG5"
"M1"	"NTSR1"	"SLC3A2"
"M1"	"NTSR1"	"NELFE"
"M1"	"NTSR1"	"PPP2R3B"
"M1"	"NTSR1"	"PRF1"
"M1"	"NTSR1"	"PTP4A1"
"M1"	"NTSR1"	"MEFV"
"M1"	"NTSR1"	"HIST1H2BJ"
"M1"	"NTSR1"	"PSMD7"
"M1"	"NTSR1"	"RRM2"
"M1"	"NTSR1"	"EEF2K"
"M1"	"NTSR1"	"C2orf44"
"M1"	"NTSR1"	"SORCS3"
"M1"	"TUBB3"	"DNAH2"
"M1"	"RBFOX1"	"GNAS"
"M1"	"RBFOX1"	"SKI"
"M1"	"RBFOX1"	"PTP4A1"
"M1"	"RBFOX1"	"RAB13"
"M1"	"RBFOX1"	"NOL7"
"M1"	"RBFOX1"	"FARS2"
"M1"	"LEO1"	"ADAP1"
"M1"	"LEO1"	"CELSR1"
"M1"	"JAK1"	"HTR1A"
"M1"	"CHEK2"	"CELSR1"
"M1"	"IL6R"	"CELF3"
"M1"	"IL6R"	"ELAVL2"
"M1"	"KCNB2"	"CLIP3"
"M1"	"KCNB2"	"FOLR3"
"M1"	"KCNB2"	"SRPX"
"M1"	"KCNB2"	"TMEM167B"
"M1"	"CCL14"	"SPICE1"
"M1"	"CCL14"	"RPS11"
"M1"	"CCL14"	"RABGAP1"
"M1"	"CCL14"	"PTP4A1"
"M1"	"CCL14"	"NSFL1C"
