"genes"	"modules"
"TNR"	"M6"
"SERPINA3"	"M4"
"MBP"	"M1"
"PLP1"	"M7"
"CHI3L1"	"M4"
"FCGBP"	"M2"
"APLNR"	"M5"
"ZBTB20"	"M2"
"C1QL1"	"M2"
"HBB"	"M2"
"GPX3"	"M1"
"AQP1"	"M5"
"ADCYAP1R1"	"M3"
"LTF"	"M5"
"HBA2"	"M2"
"CNTN1"	"M3"
"GPR17"	"M6"
"GPNMB"	"M1"
"IGF2"	"M2"
"COL20A1"	"M6"
"PKD1"	"M2"
"POSTN"	"M1"
"TNRC18"	"M2"
"SNX22"	"M6"
"TUBB4A"	"M7"
"COL3A1"	"M8"
"COL1A1"	"M8"
"ACAN"	"M6"
"HBA1"	"M2"
"CHI3L2"	"M4"
"DAAM2"	"M1"
"VGF"	"M2"
"ZNF469"	"M2"
"PCSK1N"	"M2"
"NSG2"	"M3"
"DCLK1"	"M5"
"HSPG2"	"M2"
"CD163"	"M4"
"CNTN2"	"M7"
"ELFN2"	"M6"
"ATP1A3"	"M1"
"COL9A3"	"M2"
"CPLX2"	"M1"
"CFI"	"M4"
"CP"	"M5"
"NOS1"	"M6"
"CEBPD"	"M2"
"PLA2G2A"	"M4"
"CAMK2A"	"M1"
"NKAIN3"	"M3"
"FBXL16"	"M3"
"BSN"	"M3"
"FREM2"	"M2"
"STON2"	"M5"
"SEMA3E"	"M6"
"NPTX2"	"M4"
"ALDH1A3"	"M6"
"H1-4"	"M2"
"MXRA5"	"M4"
"CDH19"	"M6"
"SYT1"	"M1"
"AZGP1"	"M1"
"MOBP"	"M1"
"H1-2"	"M2"
"ATP2B2"	"M1"
"SOCS3"	"M4"
"COL8A1"	"M4"
"GABBR2"	"M3"
"SLC17A7"	"M1"
"SH3PXD2A"	"M1"
"SLIT1"	"M3"
"H4C5"	"M2"
"MYRF"	"M7"
"FGFR3"	"M5"
"HLA-DRB5"	"M4"
"PCDHGB7"	"M2"
"CHAD"	"M6"
"SPTBN2"	"M1"
"NGFR"	"M4"
"SHANK1"	"M1"
"CRB2"	"M5"
"MOG"	"M7"
"GDF1"	"M2"
"NPTX1"	"M1"
"TRPM8"	"M4"
"CYP1B1"	"M4"
"KCND2"	"M6"
"FBN3"	"M6"
"CACNA1G"	"M6"
"AATK"	"M7"
"OXTR"	"M4"
