pathway_description	pvalue	hub_gene	comparison
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.001996007984031936	HRH1	cluster1_vs_cluster3
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.001996007984031936	TUBA1A	cluster1_vs_cluster3
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.001996007984031936	CD151	cluster1_vs_cluster3
REACTOME_CA_DEPENDENT_EVENTS	0.001996007984031936	PRKCD	cluster1_vs_cluster3
REACTOME_COLLAGEN_FORMATION	0.001996007984031936	CD151	cluster1_vs_cluster3
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	0.001996007984031936	CALM1	cluster1_vs_cluster3
REACTOME_DAG_AND_IP3_SIGNALING	0.001996007984031936	PLCG1	cluster1_vs_cluster3
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.001996007984031936	NCSTN	cluster1_vs_cluster3
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.001996007984031936	SNAP25	cluster1_vs_cluster3
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	0.001996007984031936	H1-3	cluster1_vs_cluster3
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0.001996007984031936	VAMP2	cluster1_vs_cluster3
REACTOME_HS_GAG_DEGRADATION	0.001996007984031936	GLB1L	cluster1_vs_cluster3
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.001996007984031936	VAMP2	cluster1_vs_cluster3
REACTOME_ONCOGENE_INDUCED_SENESCENCE	0.001996007984031936	UBA52	cluster1_vs_cluster3
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	0.001996007984031936	RAP1B	cluster1_vs_cluster3
REACTOME_RAP1_SIGNALLING	0.001996007984031936	YWHAB	cluster1_vs_cluster3
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	0.001996007984031936	AKR1C2	cluster1_vs_cluster3
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL	0.001996007984031936	IMPA1	cluster1_vs_cluster3
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	0.001996007984031936	NSF	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2	0.001996007984031936	HDAC3	cluster1_vs_cluster3
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.001996007984031936	NSF	cluster1_vs_cluster3
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	0.001996007984031936	HSP90AA1	cluster1_vs_cluster3
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.001996007984031936	KCNAB1	cluster1_vs_cluster3
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.003992015968063872	PRKAG1	cluster1_vs_cluster3
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	0.003992015968063872	H3C7	cluster1_vs_cluster3
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.003992015968063872	CD151	cluster1_vs_cluster3
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.003992015968063872	VAMP2	cluster1_vs_cluster3
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.003992015968063872	GLB1	cluster1_vs_cluster3
REACTOME_HDMS_DEMETHYLATE_HISTONES	0.003992015968063872	H3C7	cluster1_vs_cluster3
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.003992015968063872	HLA-E	cluster1_vs_cluster3
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.003992015968063872	ITGB1	cluster1_vs_cluster3
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.003992015968063872	TYROBP	cluster1_vs_cluster3
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	0.003992015968063872	CALM1	cluster1_vs_cluster3
